"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"121",0,1,0,1,0,1,0,2,1,1
"122",0,0,0,0,0,0,0,0,0,0
"123",0,0,0,0,0,0,0,0,0,1
"124",0,0,0,0,0,0,0,0,0,1
"125",0,0,0,0,0,0,0,2,0,1
"126",2,0,0,2,0,2,0,0,4,1
"127",2,0,0,2,0,2,0,0,4,1
"128",0,0,0,0,0,0,0,0,0,1
"129",0,0,0,0,0,0,0,0,0,0
"130",0,1,0,0,0,0,0,1,0,1
"131",0,0,0,0,0,0,0,1,0,1
"132",0,0,0,0,0,1,0,0,1,2
"133",2,0,0,2,0,2,0,0,4,1
"134",0,0,0,0,1,0,0,1,0,2
"135",0,0,0,0,0,0,0,0,0,0
"136",1,1,1,1,1,1,1,1,1,1
"137",0,0,0,0,0,0,0,0,0,1
"138",0,0,0,0,0,0,0,2,0,1
"139",0,0,0,0,0,0,0,0,0,1
"140",3,2,1,4,2,1,2,2,3,3
"141",0,0,0,0,0,0,0,0,0,1
"142",0,0,0,0,0,0,0,0,0,0
"143",0,0,0,0,0,0,0,0,0,1
"144",0,2,0,0,3,0,0,2,0,4
"145",0,0,0,0,0,0,0,0,0,1
"146",0,0,0,0,1,0,0,1,0,2
"147",0,0,0,0,0,0,0,0,0,1
"148",0,0,0,0,0,0,0,0,0,0
"149",0,0,0,0,0,0,0,0,0,1
"150",0,0,0,0,0,0,0,0,0,1
"151",0,0,0,0,0,0,0,0,0,1
"152",0,0,0,0,0,0,0,1,0,0
"153",0,0,0,0,0,0,0,0,0,1
"154",0,0,0,1,0,0,0,2,0,1
"155",1,0,0,1,0,1,0,1,2,0
"156",0,0,0,0,0,0,0,0,0,1
"157",0,0,0,0,0,0,0,0,0,0
"158",0,0,0,0,0,0,0,0,0,0
"159",0,0,0,0,0,0,0,1,0,0
"160",2,0,2,1,0,2,0,2,3,2
"161",0,1,0,0,1,0,1,0,0,3
"162",2,0,0,2,0,2,0,0,4,1
"163",0,0,0,0,0,0,0,0,0,1
"164",0,0,0,0,0,0,0,1,0,0
"165",0,0,0,0,0,0,0,0,0,1
"166",0,0,0,0,0,0,0,0,0,1
"167",0,0,0,0,0,0,0,0,0,1
"168",0,0,0,0,0,0,0,0,0,1
"169",0,1,0,1,1,1,1,0,2,2
"170",2,1,1,2,0,2,0,0,2,1
"171",0,0,0,0,0,0,0,0,0,1
"172",2,0,0,2,0,2,0,0,4,1
"173",2,0,1,2,0,1,0,0,2,0
"174",0,0,0,0,0,0,0,0,0,1
"175",0,0,0,0,1,0,0,1,0,2
"176",0,0,0,0,0,0,0,0,0,0
"177",0,0,0,0,1,0,0,1,0,2
"178",0,0,0,0,0,0,0,0,0,1
"179",0,0,0,0,0,0,0,0,0,1
"180",0,0,0,0,0,0,0,0,0,0
"181",2,0,0,2,0,2,0,0,4,1
"182",2,1,0,2,1,2,1,1,3,1
"183",0,0,0,0,0,0,0,0,0,1
"184",0,1,0,0,1,1,0,1,0,2
"185",0,1,0,0,2,0,0,1,0,2
"186",1,1,0,0,1,0,1,2,0,2
"187",1,0,0,3,0,1,0,0,2,1
